,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade
7701,2015-01-01,422,TTH2,11,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7702,2015-01-01,432,TTH2,12,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7703,2006-01-11,290,TTH3,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7704,2006-01-11,298,TTH3,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7705,2006-01-11,307,TTH3,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7706,2006-01-11,321,TTH3,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7707,2006-01-11,334,TTH3,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7708,2006-01-11,347,TTH3,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7709,2006-01-11,363,TTH3,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7710,2006-01-11,379,TTH3,08,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7711,2006-01-11,396,TTH3,09,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7712,2006-01-11,427,TTH3,10,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7713,2006-01-11,446,TTH3,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7714,2008-01-07,299,TTH3,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
