,c_netneh,transition,population,cdf
annees_2011_2014,TAT1,3,680180,0.986006758157
annees_2011_2014,TMP2,2,680250,0.986108231992
annees_2011_2014,3128,1,680319,0.986208256201
annees_2011_2014,TAD1,1,680387,0.986306830784
annees_2011_2014,2719,2,680454,0.98640395574
annees_2011_2014,2457,0,680521,0.986501080696
annees_2011_2014,2661,2,680588,0.986598205653
annees_2011_2014,3125,1,680654,0.986693880983
annees_2011_2014,TRL1,0,680718,0.98678665706
annees_2011_2014,2430,2,680782,0.986879433138
annees_2011_2014,2665,0,680845,0.98697075959
annees_2011_2014,TPG4,1,680908,0.987062086041
annees_2011_2014,TCE1,3,680971,0.987153412493
annees_2011_2014,TTM1,3,681033,0.987243289318
annees_2011_2014,0342,0,681095,0.987333166143
annees_2011_2014,4116,0,681157,0.987423042968
annees_2011_2014,3003,1,681218,0.987511470167
annees_2011_2014,TPG4,0,681279,0.987599897366
annees_2011_2014,0650,0,681340,0.987688324566
annees_2011_2014,TAU2,2,681401,0.987776751765
annees_2011_2014,TNN3,1,681462,0.987865178964
annees_2011_2014,2822,1,681523,0.987953606163
annees_2011_2014,TAD1,0,681583,0.988040583735
annees_2011_2014,2437,1,681642,0.988126111682
annees_2011_2014,3122,0,681701,0.988211639629
annees_2011_2014,TSP3,0,681760,0.988297167575
annees_2011_2014,TSP3,1,681818,0.988381245896
annees_2011_2014,TPH1,1,681876,0.988465324216
annees_2011_2014,3256,3,681934,0.988549402537
annees_2011_2014,TOH2,0,681992,0.988633480857
annees_2011_2014,2460,2,682050,0.988717559177
annees_2011_2014,TSP2,0,682107,0.988800187872
annees_2011_2014,2454,1,682163,0.98888136694
annees_2011_2014,TMA3,1,682219,0.988962546008
annees_2011_2014,TCA1,1,682275,0.989043725075
annees_2011_2014,TNN1,3,682330,0.989123454517
annees_2011_2014,6012,2,682385,0.989203183959
annees_2011_2014,0430,1,682440,0.989282913401
annees_2011_2014,TMP1,3,682494,0.989361193216
annees_2011_2014,TRS2,3,682548,0.989439473032
annees_2011_2014,2457,1,682601,0.989516303221
annees_2011_2014,TMA2,0,682654,0.989593133411
annees_2011_2014,TSE2,2,682707,0.9896699636
annees_2011_2014,TCG2,2,682759,0.989745344163
annees_2011_2014,TNJ4,0,682811,0.989820724726
annees_2011_2014,TRC3,0,682863,0.989896105289
annees_2011_2014,2700,2,682914,0.989970036226
annees_2011_2014,TPG1,3,682965,0.990043967163
annees_2011_2014,TCB1,1,683015,0.990116448474
annees_2011_2014,TRS4,3,683065,0.990188929784
annees_2011_2014,3006,1,683112,0.990257062217
